Timestamp;Entity Name;Accelerom. vector X;Accelerom. vector Y;Accelerom. vector Z;CO2;Color Temp.;Light data ALL;Light_Blue;Light_Green;Light_Red;Light_White;NO2;PM2.5;RH;T
2025-03-28 13:54:13;DS-0012;-112;-880.7999878;99.19999695;536;27860;0.830543995;23;24;46;110;-4.09;2.349435568;22.90649414;32.06050873
2025-03-28 13:54:13;DS-0013;-514.7999878;-833.5999756;-129.1999969;576.5;38035;0.396395981;18;10;29;62;-0.58;2.211567879;18.45550537;33.81889343
2025-03-28 13:54:14;DS-0014;-89.59999847;-1057.400024;51.59999847;678.5;34275;0;8;0;3;15;-3.65;2.110013247;18.41049194;33.93238068
2025-03-28 13:54:16;DS-0015;27.20000076;-891.4000244;452.6000061;417.5;30087;0.018875998;11;0;5;20;-8.51;2.228878021;22.97515869;29.19662476
2025-03-28 13:54:17;DS-0017;2.800000191;-1009.400024;-47.60000229;571.5;41060;0.358644009;17;10;25;54;9.37;2.634584904;20.90835571;31.54247284
2025-03-28 13:54:21;DS-0016;16.39999962;-1064.599976;6.799999714;572.5;32544;0.402687967;19;11;30;56;18.55;2.488980055;28.40118408;25.79868317
2025-03-28 13:54:21;DS-0018;-179.5999908;-63.60000229;956.5999756;772;20855;0.364935994;16;9;26;53;14.5;2.664878368;35.99777222;23.43280792
2025-03-28 13:54:22;DS-0019;218.8000031;-968.6000366;299.6000061;954;33105;1.170312047;31;35;61;130;14.04;1.686607003;30.22003174;26.11911774
2025-03-28 13:54:24;DS-0013;-449.5999756;-702;-18.80000305;598.5;31467;0.358643949;16;9;26;60;0.61;2.006003141;18.68286133;33.67603302
2025-03-28 13:54:25;DS-0014;-104.7999954;-1042.599976;56.40000153;673;41453;0.056627996;11;1;12;37;-5.44;2.12845993;18.49365234;33.82556915
2025-03-28 13:54:26;DS-0015;46;-1030;151;484.5;49185;0.132131994;16;3;12;40;-11.02;2.356207371;23.20632935;29.15657043
2025-03-28 13:54:27;DS-0017;-9.799999237;-1009.800049;-51.40000153;572;22551;0.484484017;19;12;31;67;12;2.523429394;20.91827393;31.47571564
2025-03-28 13:54:28;DS-0012;-14.60000038;-1025;-12.39999962;559;27270;1.28986001;29;39;66;151;0.14;2.162867546;22.56317139;31.92432404
2025-03-28 13:54:31;DS-0016;19.39999962;-1057.200073;-8.600000381;571.5;40252;0.528528035;20;15;35;66;18.35;2.498721838;28.34320068;25.78266144
2025-03-28 13:54:32;DS-0019;-752.4000244;232.3999939;-539.3999634;938.5;22931;0.887172043;26;27;51;121;24.37;1.769785881;29.94232178;26.12178802
2025-03-28 13:54:34;DS-0013;-128.8000031;-327.3999939;346.2000122;601;22877;0.994136035;25;29;57;125;-4.97;1.971743941;18.98117065;33.52249146
2025-03-28 13:54:35;DS-0014;-119.2000046;-1071.599976;85.79999542;669;39670;0.956384063;23;28;55;130;2.67;2.174432755;18.52493286;33.72543335
2025-03-28 13:54:36;DS-0018;-21;-192.1999969;807.2000122;774;48048;1.252108097;30;37;62;132;14.47;2.381390333;35.7170105;23.40877533
2025-03-28 13:54:37;DS-0015;-160.1999969;-997.6000366;134.8000031;511;48280;1.113684058;30;33;50;146;-7;2.641789675;23.22998047;29.08313751
2025-03-28 13:54:37;DS-0017;-6.800000191;-1012.199951;-55;572.5;24997;0.459315985;19;13;30;62;12.31;2.425978422;20.94116211;31.40762329
2025-03-28 13:54:38;DS-0012;173;-831.1999512;-190.5999908;585;30982;1.113684058;28;33;58;136;29.71;2.370347977;21.83074951;31.76944733
2025-03-28 13:54:44;DS-0013;-319.3999939;41.80000305;960.4000244;603.5;20508;2.107820034;43;65;103;283;0.07;2.034829617;19.04602051;33.42769623
2025-03-28 13:54:45;DS-0014;-52.79999924;-1055.599976;93;668.5;27618;2.422420025;46;75;123;261;-0.61;2.285556793;18.59970093;33.67336273
2025-03-28 13:54:47;DS-0016;-40;-288.7999878;129.1999817;516;22953;0.421563983;19;11;30;62;18.23;2.42680788;28.42559814;25.73993683
2025-03-28 13:54:47;DS-0017;-48.19999313;-431;594.7999878;572;23610;0.478191972;18;14;30;64;12.83;2.495194912;20.97320557;31.32350922
2025-03-28 13:54:47;DS-0018;10.59999847;-539.2000122;527.5999756;773;45953;3.466892004;68;107;151;314;13.95;2.464706898;35.38360596;23.40209961
2025-03-28 13:54:47;DS-0019;-573.2000122;-201.3999939;134;1142;23510;0.83683598;24;25;52;116;29.18;2.142823696;30.99441528;26.10176086
2025-03-28 13:54:48;DS-0012;239.6000061;-390.2000122;544.4000244;569;31699;0.648076057;22;19;37;101;4.34;2.58585763;21.7590332;31.66797638
2025-03-28 13:54:51;DS-0015;-13;-1027;112;543;31161;0.692120016;24;19;34;101;-4.32;2.572335482;23.08349609;29.01638031
2025-03-28 13:54:55;DS-0014;-61.40000153;-1054.199951;77.59999847;666;26012;2.107819796;40;65;109;227;2.21;2.440297127;18.54629517;33.61328125
2025-03-28 13:54:57;DS-0016;1.800000072;-1061.400024;-11.19999981;478.5;25436;0.723580003;24;21;45;92;24.84;2.226055145;29.51660156;25.73192596
2025-03-28 13:54:57;DS-0018;-547;-236.2000122;-294.3999939;773.5;15400;1.472327948;34;45;74;149;228.65;2.525856256;35.77270508;23.38474274
2025-03-28 13:54:57;DS-0019;400.3999939;-295.6000061;171.6000061;1283;32451;1.05705595;28;32;59;140;-14.6;1.849991679;31.68258667;26.09241486
2025-03-28 13:54:58;DS-0017;-1.600000381;-213.6000061;1000.800049;572.5;42982;1.774344206;39;55;79;212;16.79;2.436653137;21.1517334;31.21002197
2025-03-28 13:54:59;DS-0012;436;-114.5999985;853.8000488;571;27869;1.497496128;33;46;72;206;-14.66;2.463912964;22.17025757;31.56650543
2025-03-28 13:54:59;DS-0013;-367.6000061;-441.2000122;827.5999756;562.5;36641;0.471899986;18;13;33;75;22.92;2.305114746;19.22302246;33.25946808
2025-03-28 13:55:02;DS-0015;-55.20000076;-1024;101.5999985;548;38427;1.780635953;40;53;77;224;-4.21;2.464642763;22.99957275;28.97098541
2025-03-28 13:55:05;DS-0014;-71.20000458;-1065.400024;81.79999542;666.5;14471;1.308736086;29;39;71;162;1.69;2.556860685;18.61343384;33.52249146
2025-03-28 13:55:07;DS-0016;-380.3999939;-645.2000122;215.6000061;513.5;36547;0.666951954;23;18;42;85;801.41;5.008490562;29.36019897;25.72257996
2025-03-28 13:55:07;DS-0018;346;-171.8000031;-201.8000031;768.5;16638;1.497496009;35;45;65;173;822.14;2.584364891;35.76889038;23.39408875
